DATE,UNRATE,CPI (USACPALTT01CTGYM),"Annualized Percent Change of GDP from Preceding Period, Seasonally Adjusted"
2011-01-01,9.1,0.1681342,-3.03441306
2011-02-01,9,0.2231684,-1.354698358
2011-03-01,9,0.2834055,4.315751804
2011-04-01,9.1,0.3078878,4.146784226
2011-05-01,9,0.3462912,2.485212627
2011-06-01,9.1,0.3706896,-0.40879863
2011-07-01,9,0.4216379,-1.893615331
2011-08-01,9,0.4694482,-0.0455615
2011-09-01,9,0.4911127,3.301216221
2011-10-01,8.8,0.4876241,6.337827082
2011-11-01,8.6,0.4637267,5.140993181
2011-12-01,8.5,2.987311,4.358391325
2012-01-01,8.3,2.901955,3.191287459
2012-02-01,8.3,2.799454,2.409778629
2012-03-01,8.2,2.533217,1.806568713
2012-04-01,8.2,2.179635,1.883769749
2012-05-01,8.2,1.515547,1.72639945
2012-06-01,8.2,1.361493,0.902188039
2012-07-01,8.2,1.007154,0.711396447
2012-08-01,8.1,1.386123,-0.049021626
2012-09-01,7.8,1.797403,-0.370181277
2012-10-01,7.8,2.067495,-0.82566488
2012-11-01,7.7,1.73214,1.684772201
2012-12-01,7.9,1.722416,4.057065547
2013-01-01,8,1.561265,5.049269175
2013-02-01,7.7,1.947069,4.830608318
2013-03-01,7.5,1.399911,0.7243259
2013-04-01,7.6,0.9742526,-0.412528298
2013-05-01,7.5,1.278771,1.23499567
2013-06-01,7.5,1.711249,2.116266272
2013-07-01,7.3,1.937639,3.147171569
2013-08-01,7.2,1.474966,5.162652106
2013-09-01,7.2,1.117146,5.290263497
2013-10-01,7.2,0.9043331,4.405013395
2013-11-01,6.9,1.206673,2.358716537
2013-12-01,6.7,1.500705,-2.448417208
2014-01-01,6.6,1.579049,-4.435063913
2014-02-01,6.7,1.10457,-0.491575912
2014-03-01,6.7,1.498215,4.396125018
2014-04-01,6.2,1.95393,6.151810954
2014-05-01,6.3,2.140056,6.664000033
2014-06-01,6.1,2.088577,6.116986934
2014-07-01,6.2,2.012592,5.421243652
2014-08-01,6.1,1.723432,3.250689363
2014-09-01,5.9,1.677134,1.821409176
2014-10-01,5.7,1.682696,0.932139153
2014-11-01,5.8,1.336591,2.228992909
2014-12-01,5.6,0.7550086,4.014584959
2015-01-01,5.7,-0.1588267,3.752425698
2015-02-01,5.5,-0.07911733,3.439233436
2015-03-01,5.4,-0.100926,3.880447979
2015-04-01,5.4,-0.226851,2.196175999
2015-05-01,5.6,-0.03127274,1.335629123
2015-06-01,5.3,0.1358807,1.765700236
2015-07-01,5.2,0.1772963,2.292838916
2015-08-01,5.1,0.1726237,1.069454423
2015-09-01,5,-0.1078884,0.500413949
2015-10-01,5,0.09047221,0.282896584
2015-11-01,5.1,0.4166553,0.647936138
2015-12-01,5,0.6329767,2.422578855
2016-01-01,4.8,1.343778,3.207013382
2016-02-01,4.9,0.9786325,2.466804363
2016-03-01,5,0.776307,0.757774644
2016-04-01,5.1,1.039902,0.791801803
2016-05-01,4.8,0.8903339,1.009540208
2016-06-01,4.9,0.8575992,3.161510687
2016-07-01,4.8,0.6960403,3.418182826
2016-08-01,4.9,0.9631855,2.729570134
2016-09-01,5,1.416427,2.396216644
2016-10-01,4.9,1.608019,2.068228114
2016-11-01,4.7,1.671098,1.808241744
2016-12-01,4.7,2.066193,2.572572888
2017-01-01,4.7,2.494004,1.964650383
2017-02-01,4.6,2.724323,1.485256751
2017-03-01,4.4,2.365818,1.650730809
2017-04-01,4.4,2.189406,2.476983262
2017-05-01,4.4,1.865461,2.316365833
2017-06-01,4.3,1.624988,3.247736955
2017-07-01,4.3,1.718275,2.782133693
2017-08-01,4.4,1.926102,3.444694852
2017-09-01,4.3,2.213503,4.243172934
2017-10-01,4.2,2.015924,5.125605071
2017-11-01,4.2,2.180537,4.63930129
2017-12-01,4.1,2.091918,3.762746979
2018-01-01,4,2.042188,2.590361106
2018-02-01,4.1,2.175117,3.685588631
2018-03-01,4,2.321362,1.852684328
2018-04-01,4,2.406737,1.741385244
2018-05-01,3.8,2.725657,1.782395657
2018-06-01,4,2.800613,2.879416804
2018-07-01,3.8,2.889804,2.878294548
2018-08-01,3.8,2.651383,2.698939676
2018-09-01,3.7,2.240983,0.813264592
2018-10-01,3.8,2.486091,-0.413915999
2018-11-01,3.8,2.172538,0.268148128
2018-12-01,3.9,1.949292,1.472009326
2019-01-01,4,1.593904,2.562449035
2019-02-01,3.8,1.576422,2.696855972
2019-03-01,3.8,1.933697,3.209720932
2019-04-01,3.7,2.099331,2.545829388
2019-05-01,3.6,1.916335,4.105085096
2019-06-01,3.6,1.764365,4.767162043
2019-07-01,3.7,1.917843,5.004707306
2019-08-01,3.6,1.837842,4.953450548
2019-09-01,3.5,1.781486,1.97707034
2019-10-01,3.6,1.835372,0.792130136
2019-11-01,3.6,2.089842,3.337139679
2019-12-01,3.6,2.277592,5.054264488
2020-01-01,3.6,2.491633,2.130385247
2020-02-01,3.5,2.340293,-12.4114329
2020-03-01,4.4,1.53078,-44.40836632
2020-04-01,14.8,0.2859578,-69.04783481
2020-05-01,13.2,0.05128058,-10.1365282
2020-06-01,11,0.581271,32.71896882
2020-07-01,10.2,0.9333359,45.95475588
2020-08-01,8.4,1.264507,32.80415666
2020-09-01,7.8,1.332004,10.25922054
2020-10-01,6.8,1.130982,-3.677010221
2020-11-01,6.7,1.122155,-4.401026954
2020-12-01,6.7,1.323012,3.579485096
2021-01-01,6.4,1.365916,8.270387167
